pi_number , temperature in celcius, humidity percentage, date time
1,19.399999618530273,60.400001525878906,Tue Aug 11 14:50:08 2015
1,19.399999618530273,60.5,Tue Aug 11 14:50:19 2015
1,19.399999618530273,60.5,Tue Aug 11 14:50:24 2015
1,19.399999618530273,60.5,Tue Aug 11 14:50:30 2015
1,19.399999618530273,60.5,Tue Aug 11 14:50:35 2015
1,19.399999618530273,60.5,Tue Aug 11 14:50:41 2015
1,19.399999618530273,60.400001525878906,Tue Aug 11 14:50:57 2015
1,19.399999618530273,60.400001525878906,Tue Aug 11 14:51:05 2015
1,19.399999618530273,60.400001525878906,Tue Aug 11 14:51:10 2015
1,19.399999618530273,60.400001525878906,Tue Aug 11 14:51:16 2015
1,19.399999618530273,60.29999923706055,Tue Aug 11 14:51:24 2015
1,19.399999618530273,60.29999923706055,Tue Aug 11 14:51:29 2015
1,19.399999618530273,60.29999923706055,Tue Aug 11 14:51:35 2015
1,19.399999618530273,60.29999923706055,Tue Aug 11 14:51:40 2015
1,19.399999618530273,60.29999923706055,Tue Aug 11 14:51:49 2015
1,19.399999618530273,60.29999923706055,Tue Aug 11 14:51:57 2015
1,19.399999618530273,60.29999923706055,Tue Aug 11 14:52:02 2015
1,19.299999237060547,60.29999923706055,Tue Aug 11 14:52:13 2015
1,19.399999618530273,60.20000076293945,Tue Aug 11 14:52:18 2015
1,19.399999618530273,60.20000076293945,Tue Aug 11 14:52:34 2015
1,19.399999618530273,60.20000076293945,Tue Aug 11 14:52:40 2015
1,19.399999618530273,60.29999923706055,Tue Aug 11 14:52:50 2015
1,19.399999618530273,60.29999923706055,Tue Aug 11 14:52:58 2015
1,19.399999618530273,60.29999923706055,Tue Aug 11 14:53:04 2015
1,19.399999618530273,60.29999923706055,Tue Aug 11 14:53:09 2015
1,19.399999618530273,60.29999923706055,Tue Aug 11 14:53:20 2015
1,19.399999618530273,60.20000076293945,Tue Aug 11 14:53:26 2015
1,19.5,60.29999923706055,Tue Aug 11 16:31:17 2015
1,19.399999618530273,60.29999923706055,Tue Aug 11 16:31:31 2015
1,19.399999618530273,60.29999923706055,Tue Aug 11 16:31:36 2015
1,19.5,60.29999923706055,Tue Aug 11 16:31:44 2015
1,19.399999618530273,60.20000076293945,Tue Aug 11 16:31:50 2015
1,19.5,60.29999923706055,Tue Aug 11 16:31:56 2015
1,19.5,60.29999923706055,Tue Aug 11 16:32:09 2015
1,19.5,60.29999923706055,Tue Aug 11 16:32:15 2015
1,19.5,60.29999923706055,Tue Aug 11 16:32:20 2015
1,19.399999618530273,60.099998474121094,Tue Aug 11 16:32:36 2015
1,19.5,60.099998474121094,Tue Aug 11 16:32:47 2015
1,19.5,60.099998474121094,Tue Aug 11 16:32:52 2015
1,19.5,60.099998474121094,Tue Aug 11 16:32:58 2015
1,19.5,60.099998474121094,Tue Aug 11 16:33:06 2015
1,19.5,60.099998474121094,Tue Aug 11 16:33:12 2015
1,19.5,60.099998474121094,Tue Aug 11 16:33:17 2015
1,19.5,60.099998474121094,Tue Aug 11 16:33:26 2015
1,19.5,60.099998474121094,Tue Aug 11 16:33:31 2015
1,19.5,60.099998474121094,Tue Aug 11 16:33:39 2015
1,19.5,60.099998474121094,Tue Aug 11 16:33:45 2015
1,19.5,60.0,Tue Aug 11 16:33:51 2015
1,19.5,60.0,Tue Aug 11 16:33:56 2015
1,19.5,60.099998474121094,Tue Aug 11 16:34:04 2015
1,19.5,60.20000076293945,Tue Aug 11 16:34:15 2015
1,19.5,60.20000076293945,Tue Aug 11 16:34:31 2015
1,19.5,60.20000076293945,Tue Aug 11 16:34:42 2015
1,19.5,60.20000076293945,Tue Aug 11 16:34:47 2015
1,19.5,60.20000076293945,Tue Aug 11 16:34:55 2015
1,19.5,60.20000076293945,Tue Aug 11 16:35:06 2015
1,19.5,60.099998474121094,Tue Aug 11 16:35:12 2015
1,19.5,60.099998474121094,Tue Aug 11 16:35:17 2015
1,19.5,60.099998474121094,Tue Aug 11 16:35:23 2015
1,19.5,60.0,Tue Aug 11 16:35:36 2015
1,19.5,60.0,Tue Aug 11 16:35:44 2015
1,19.5,60.0,Tue Aug 11 16:35:50 2015
1,19.5,59.900001525878906,Tue Aug 11 16:35:58 2015
1,19.5,59.900001525878906,Tue Aug 11 16:36:04 2015
1,19.5,59.900001525878906,Tue Aug 11 16:36:09 2015
1,19.5,59.900001525878906,Tue Aug 11 16:36:23 2015
1,19.5,59.900001525878906,Tue Aug 11 16:36:28 2015
1,19.399999618530273,59.79999923706055,Tue Aug 11 16:36:34 2015
1,19.5,59.900001525878906,Tue Aug 11 16:36:40 2015
1,19.5,59.900001525878906,Tue Aug 11 16:36:45 2015
1,19.5,59.79999923706055,Tue Aug 11 16:36:51 2015
1,19.5,59.900001525878906,Tue Aug 11 16:36:57 2015
1,19.5,59.79999923706055,Tue Aug 11 16:37:02 2015
1,19.399999618530273,59.70000076293945,Tue Aug 11 16:37:08 2015
1,19.5,59.79999923706055,Tue Aug 11 16:37:13 2015
1,19.399999618530273,59.599998474121094,Tue Aug 11 16:37:24 2015
1,19.5,59.70000076293945,Tue Aug 11 16:37:30 2015
1,19.5,59.70000076293945,Tue Aug 11 16:37:35 2015
1,19.399999618530273,59.599998474121094,Tue Aug 11 16:37:41 2015
1,19.5,59.70000076293945,Tue Aug 11 16:37:47 2015
1,19.399999618530273,59.599998474121094,Tue Aug 11 16:37:52 2015
1,19.399999618530273,59.599998474121094,Tue Aug 11 16:38:06 2015
1,19.5,59.70000076293945,Tue Aug 11 16:38:11 2015
1,19.399999618530273,59.599998474121094,Tue Aug 11 16:38:22 2015
1,19.5,59.70000076293945,Tue Aug 11 16:38:28 2015
1,19.399999618530273,59.5,Tue Aug 11 16:38:36 2015
1,19.399999618530273,59.5,Tue Aug 11 16:38:41 2015
1,19.399999618530273,59.5,Tue Aug 11 16:38:47 2015
1,19.5,59.599998474121094,Tue Aug 11 16:38:55 2015
1,19.399999618530273,59.5,Tue Aug 11 16:39:01 2015
1,19.399999618530273,59.5,Tue Aug 11 16:39:06 2015
1,19.5,59.599998474121094,Tue Aug 11 16:39:12 2015
1,19.5,59.599998474121094,Tue Aug 11 16:39:20 2015
1,19.399999618530273,59.5,Tue Aug 11 16:39:28 2015
1,19.399999618530273,59.5,Tue Aug 11 16:39:34 2015
1,19.5,59.599998474121094,Tue Aug 11 16:39:40 2015
1,19.399999618530273,59.400001525878906,Tue Aug 11 16:39:48 2015
1,19.399999618530273,59.400001525878906,Tue Aug 11 16:39:54 2015
1,19.5,59.5,Tue Aug 11 16:39:59 2015
1,19.399999618530273,59.400001525878906,Tue Aug 11 16:40:05 2015
1,19.399999618530273,59.400001525878906,Tue Aug 11 16:40:15 2015
1,19.399999618530273,59.29999923706055,Tue Aug 11 16:40:21 2015
1,19.399999618530273,59.29999923706055,Tue Aug 11 16:40:32 2015
1,19.399999618530273,59.400001525878906,Tue Aug 11 16:40:43 2015
1,19.399999618530273,59.29999923706055,Tue Aug 11 16:40:48 2015
1,19.399999618530273,59.29999923706055,Tue Aug 11 16:40:59 2015
1,19.399999618530273,59.29999923706055,Tue Aug 11 16:41:10 2015
1,19.399999618530273,59.400001525878906,Tue Aug 11 16:41:15 2015
1,19.399999618530273,59.400001525878906,Tue Aug 11 16:41:21 2015
1,19.399999618530273,59.400001525878906,Tue Aug 11 16:41:26 2015
1,19.399999618530273,59.400001525878906,Tue Aug 11 16:41:32 2015
1,19.399999618530273,59.400001525878906,Tue Aug 11 16:41:38 2015
1,19.399999618530273,59.29999923706055,Tue Aug 11 16:41:46 2015
1,19.399999618530273,59.400001525878906,Tue Aug 11 16:41:51 2015
1,19.399999618530273,59.400001525878906,Tue Aug 11 16:42:02 2015
1,19.399999618530273,59.599998474121094,Tue Aug 11 16:42:15 2015
1,19.399999618530273,59.599998474121094,Tue Aug 11 16:42:21 2015
1,19.399999618530273,59.599998474121094,Tue Aug 11 16:42:31 2015
1,19.399999618530273,59.70000076293945,Tue Aug 11 16:42:42 2015
1,19.399999618530273,59.70000076293945,Tue Aug 11 16:42:58 2015
1,19.399999618530273,59.70000076293945,Tue Aug 11 16:43:03 2015
1,19.399999618530273,59.70000076293945,Tue Aug 11 16:43:21 2015
1,19.399999618530273,59.70000076293945,Tue Aug 11 16:43:37 2015
1,19.399999618530273,59.70000076293945,Tue Aug 11 16:43:43 2015
1,19.399999618530273,59.70000076293945,Tue Aug 11 16:43:48 2015
1,19.399999618530273,59.70000076293945,Tue Aug 11 16:43:54 2015
1,19.399999618530273,59.70000076293945,Tue Aug 11 16:44:00 2015
1,19.399999618530273,59.70000076293945,Tue Aug 11 16:44:05 2015
1,19.399999618530273,59.79999923706055,Tue Aug 11 16:44:16 2015
1,19.399999618530273,59.79999923706055,Tue Aug 11 16:44:22 2015
1,19.399999618530273,59.79999923706055,Tue Aug 11 16:44:30 2015
1,19.399999618530273,59.79999923706055,Tue Aug 11 16:44:38 2015
1,19.399999618530273,59.79999923706055,Tue Aug 11 16:44:44 2015
1,19.399999618530273,59.79999923706055,Tue Aug 11 16:44:49 2015
1,19.399999618530273,59.79999923706055,Tue Aug 11 16:44:57 2015
1,19.399999618530273,59.79999923706055,Tue Aug 11 16:45:03 2015
1,19.399999618530273,59.79999923706055,Tue Aug 11 16:45:09 2015
1,19.399999618530273,59.900001525878906,Tue Aug 11 16:45:22 2015
1,19.399999618530273,59.900001525878906,Tue Aug 11 16:45:27 2015
1,19.399999618530273,59.900001525878906,Tue Aug 11 16:45:36 2015
1,19.399999618530273,59.900001525878906,Tue Aug 11 16:45:41 2015
1,19.5,60.0,Tue Aug 11 16:45:47 2015
1,19.399999618530273,60.0,Tue Aug 11 16:45:55 2015
1,19.399999618530273,60.0,Tue Aug 11 16:46:01 2015
1,19.399999618530273,60.0,Tue Aug 11 16:46:06 2015
1,19.399999618530273,60.0,Tue Aug 11 16:46:15 2015
1,19.399999618530273,60.0,Tue Aug 11 16:46:23 2015
1,19.399999618530273,60.0,Tue Aug 11 16:46:28 2015
1,19.399999618530273,60.0,Tue Aug 11 16:46:39 2015
1,19.399999618530273,60.0,Tue Aug 11 16:46:52 2015
1,19.399999618530273,60.0,Tue Aug 11 16:46:58 2015
1,19.399999618530273,60.0,Tue Aug 11 16:47:04 2015
1,19.399999618530273,60.0,Tue Aug 11 16:47:09 2015
1,19.5,60.099998474121094,Tue Aug 11 16:47:15 2015
1,19.399999618530273,60.099998474121094,Tue Aug 11 16:47:23 2015
1,19.399999618530273,60.0,Tue Aug 11 16:47:34 2015
1,19.399999618530273,60.0,Tue Aug 11 16:47:39 2015
1,19.399999618530273,60.0,Tue Aug 11 16:47:47 2015
1,19.399999618530273,60.0,Tue Aug 11 16:47:53 2015
1,19.399999618530273,60.0,Tue Aug 11 16:48:06 2015
1,19.399999618530273,60.0,Tue Aug 11 16:48:12 2015
1,19.399999618530273,60.0,Tue Aug 11 16:48:18 2015
1,19.399999618530273,60.0,Tue Aug 11 16:48:23 2015
1,19.399999618530273,60.0,Tue Aug 11 16:48:29 2015
1,19.399999618530273,60.0,Tue Aug 11 16:48:34 2015
1,19.399999618530273,60.0,Tue Aug 11 16:48:40 2015
1,19.399999618530273,60.0,Tue Aug 11 16:48:46 2015
1,19.399999618530273,60.0,Tue Aug 11 16:48:51 2015
1,19.399999618530273,60.0,Tue Aug 11 16:48:57 2015
1,19.399999618530273,59.900001525878906,Tue Aug 11 16:49:05 2015
1,19.399999618530273,59.900001525878906,Tue Aug 11 16:49:11 2015
1,19.399999618530273,59.900001525878906,Tue Aug 11 16:49:24 2015
1,19.399999618530273,59.900001525878906,Tue Aug 11 16:49:30 2015
